Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Macedonia,Gas_existing,251.0
Macedonia,Oil_existing,189.0
Macedonia,Bio_existing,7.0
Macedonia,Hydroregulated,644.0
Macedonia,Hydrorun-of-the-river,109.0
Macedonia,Windonshore,37.0
Macedonia,Solar,94.0
Netherlands,Coal_existing,4006.0
Netherlands,Gas_existing,18530.0
Netherlands,Bio_existing,572.0
Netherlands,Nuclear,486.0
Netherlands,Waste,763.0
Netherlands,Hydrorun-of-the-river,38.0
Netherlands,Windonshore,7303.0
Netherlands,Windoffshoregrounded,0.0
Netherlands,Solar,16074.0
Poland,Lignite_existing,7560.0
Poland,Coal_existing,19066.0
Poland,Gas_existing,3705.0
Poland,Oil_existing,393.0
Poland,Bio_existing,642.0
Poland,Waste,0.0
Poland,Hydroregulated,469.0
Poland,Hydrorun-of-the-river,322.0
Poland,Windonshore,7886.0
Poland,Solar,6036.0
Portugal,Coal_existing,576.0
Portugal,Gas_existing,4580.0
Portugal,Oil_existing,0.0
Portugal,Bio_existing,684.0
Portugal,Hydroregulated,1515.0
Portugal,Hydrorun-of-the-river,2857.0
Portugal,Windonshore,5234.0
Portugal,Solar,861.0
Romania,Lignite_existing,2497.0
Romania,Coal_existing,176.0
Romania,Gas_existing,2218.0
Romania,Bio_existing,116.0
Romania,Nuclear,1300.0
Romania,Hydroregulated,3357.0
Romania,Hydrorun-of-the-river,2780.0
Romania,Windonshore,2957.0
Romania,Solar,1160.0
Serbia,Lignite_existing,5661.0
Serbia,Gas_existing,486.0
Serbia,Hydrorun-of-the-river,2018.0
Serbia,Hydroregulated,473.0
Serbia,Windonshore,397.0
Sweden,Coal_existing,0.0
Sweden,Gas_existing,1573.0
Sweden,Oil_existing,905.0
Sweden,Bio_existing,5299.0
Sweden,Waste,4613.0
Sweden,Nuclear,7725.0
Sweden,Hydroregulated,16479.0
Sweden,Solar,1417.0
Sweden,Windonshore,9688.0
Slovenia,Lignite_existing,936.0
Slovenia,Gas_existing,626.0
Slovenia,Bio_existing,13.0
Slovenia,Waste,36.0
Slovenia,Nuclear,696.0
Slovenia,Hydrorun-of-the-river,1127.0
Slovenia,Windonshore,2.0
Slovenia,Solar,286.0
Slovakia,Lignite_existing,0.0
Slovakia,Coal_existing,2411.0
Slovakia,Gas_existing,0.0
Slovakia,Oil_existing,0.0
Slovakia,Bio_existing,225.0
Slovakia,Waste,6.0
Slovakia,Nuclear,1971.0
Slovakia,Hydrorun-of-the-river,1208.0
Slovakia,Hydroregulated,318.0
Slovakia,Windonshore,3.0
Slovakia,Solar,535.0
NO1,Gas_existing,70.46000000000001
NO1,Waste,0.0
NO1,Bio_existing,7.800000000000001
NO1,Hydroregulated,1172.0
NO1,Hydrorun-of-the-river,2520.0
NO1,Windonshore,384.70000000000005
NO1,Solar,89.0
NO2,Gas_existing,178.86
NO2,Waste,0.0
NO2,Bio_existing,19.8
NO2,Hydroregulated,8834.0
NO2,Hydrorun-of-the-river,2342.0
NO2,Windonshore,1427.05
NO2,Solar,48.0
NO3,Gas_existing,81.3
NO3,Waste,0.0
NO3,Bio_existing,9.0
NO3,Hydroregulated,2177.0
NO3,Hydrorun-of-the-river,2537.0
NO3,Windonshore,2111.875
NO3,Solar,22.0
NO4,Gas_existing,97.56
NO4,Waste,0.0
NO4,Bio_existing,10.799999999999999
NO4,Hydroregulated,3479.0
NO4,Hydrorun-of-the-river,1728.0
NO4,Windonshore,1159.25
NO4,Solar,3.0
NO5,Gas_existing,113.82
NO5,Waste,0.0
NO5,Bio_existing,12.6
NO5,Hydroregulated,6470.0
NO5,Hydrorun-of-the-river,1601.0
NO5,Windonshore,0.0
NO5,Solar,13.0
France,Hydroregulated,8785.0
BosniaH,Hydrorun-of-the-river,291.0
Croatia,Geo,10.0
Luxemb.,Hydrorun-of-the-river,25.0
Serbia,Solar,3.0
MorayFirth,Windoffshoregrounded,588.0
FirthofForth,Windoffshoregrounded,93.2
DoggerBank,Windoffshoregrounded,0.0
Hornsea,Windoffshoregrounded,1218.0
OuterDowsing,Windoffshoregrounded,2185.5
Norfolk,Windoffshoregrounded,60.0
EastAnglia,Windoffshoregrounded,2812.3
Borssele,Windoffshoregrounded,3739.3
HollandseeKust,Windoffshoregrounded,357.0
HelgolanderBucht,Windoffshoregrounded,7166.0
Nordsoen,Windoffshoregrounded,1120.0
UtsiraNord,Windoffshoregrounded,0.0
SorligeNordsjoI,Windoffshoregrounded,0.0
SorligeNordsjoII,Windoffshoregrounded,0.0
MorayFirth,Windoffshorefloating,0.0
FirthofForth,Windoffshorefloating,30.0
UtsiraNord,Windoffshorefloating,0.0
Belgium,Windoffshorefloating,0.0
Germany,Windoffshorefloating,0.0
Denmark,Windoffshorefloating,0.0
GreatBrit.,Windoffshorefloating,0.0
Netherlands,Windoffshorefloating,0.0
