InterconnectorLinks,ToNode,Period,TransmissionInitialCapacity
Netherlands,GreatBrit.,2,1000
NO2,GreatBrit.,2,1100
NO5,GreatBrit.,2,0
Italy,Greece,2,500
Macedonia,Greece,2,1100
Romania,Hungary,2,1100
Serbia,Hungary,2,750
Slovakia,Hungary,2,2600
Poland,Hungary,2,0
Slovenia,Hungary,2,1200
Ireland,Spain,2,0
Slovenia,Italy,2,660
Italy,Switzerland,2,3750
Sweden,Latvia,2,0
Latvia,Lithuania,2,950
Sweden,Lithuania,2,700
Poland,Lithuania,2,500
Serbia,Macedonia,2,540
NO2,Netherlands,2,723
Sweden,NO1,2,2145
NO2,NO1,2,3500
NO3,NO1,2,500
NO5,NO1,2,3900
NO5,NO2,2,600
NO4,NO3,2,1200
NO5,NO3,2,500
Sweden,NO3,2,1000
Sweden,NO4,2,300
Sweden,Poland,2,600
Slovakia,Poland,2,1980
Portugal,Spain,2,4200
Serbia,Romania,2,680
Switzerland,Austria,3,1200
CzechR,Austria,3,900
Germany,Austria,3,5400
Hungary,Austria,3,800
Italy,Austria,3,800
Slovenia,Austria,3,950
Slovakia,Austria,3,0
France,Belgium,3,4300
Luxemb.,Belgium,3,680
Netherlands,Belgium,3,3400
GreatBrit.,Belgium,3,1000
Germany,Belgium,3,1000
NO2,Belgium,3,0
Croatia,BosniaH,3,750
Serbia,BosniaH,3,530
Italy,BosniaH,3,0
Greece,Bulgaria,3,1700
Macedonia,Bulgaria,3,500
Romania,Bulgaria,3,1500
Serbia,Bulgaria,3,320
Hungary,Croatia,3,1700
Serbia,Croatia,3,500
Slovenia,Croatia,3,2000
Italy,Croatia,3,0
Germany,CzechR,3,2100
Poland,CzechR,3,1400
Slovakia,CzechR,3,1800
NO2,Denmark,3,1632
Sweden,Denmark,3,750
Netherlands,Denmark,3,700
GreatBrit.,Denmark,3,1400
Poland,Denmark,3,0
Denmark,Germany,3,4100
Finland,Estonia,3,1016
Latvia,Estonia,3,1100
Sweden,Estonia,3,0
NO4,Finland,3,0
Sweden,Finland,3,2400
GreatBrit.,France,3,4000
Italy,France,3,4100
Ireland,France,3,0
Luxemb.,France,3,380
NO2,France,3,0
France,Germany,3,3300
France,Spain,3,5000
France,Switzerland,3,3700
Luxemb.,Germany,3,2300
Netherlands,Germany,3,5000
NO2,Germany,3,1400
Poland,Germany,3,3000
Sweden,Germany,3,615
Italy,Germany,3,0
Germany,Switzerland,3,4200
Ireland,GreatBrit.,3,1750
Netherlands,GreatBrit.,3,1000
NO2,GreatBrit.,3,1100
NO5,GreatBrit.,3,0
Italy,Greece,3,500
Macedonia,Greece,3,1100
Romania,Hungary,3,1100
Serbia,Hungary,3,750
Slovakia,Hungary,3,2600
Poland,Hungary,3,0
Slovenia,Hungary,3,1200
Ireland,Spain,3,0
Slovenia,Italy,3,660
Italy,Switzerland,3,3750
Sweden,Latvia,3,0
Latvia,Lithuania,3,950
Sweden,Lithuania,3,700
Poland,Lithuania,3,500
Serbia,Macedonia,3,540
NO2,Netherlands,3,723
Sweden,NO1,3,2145
NO2,NO1,3,3500
NO3,NO1,3,500
NO5,NO1,3,3900
NO5,NO2,3,600
NO4,NO3,3,1200
NO5,NO3,3,500
Sweden,NO3,3,1000
Sweden,NO4,3,300
Sweden,Poland,3,600
Slovakia,Poland,3,1980
Portugal,Spain,3,4200
Serbia,Romania,3,680
