InterconnectorLinks,ToNode,Period,MaxRawNotAdjustWithInitCap_in_MW
DK_BalticSea,Denmark,1,10000
DK_NorthSea,Denmark,1,10000
EnergyHubEU,Denmark,1,10000
EnergyHubEU,DK_NorthSea,1,10000
GB_DoggerBank,DK_NorthSea,1,10000
NO_Sørvest,DK_NorthSea,1,10000
FR_ChannelSea,EnergyHubEU,1,10000
GB_DoggerBank,EnergyHubEU,1,10000
GB_ScotlandEast,EnergyHubEU,1,10000
GB_SheppeyIsland,EnergyHubEU,1,10000
Germany,EnergyHubEU,1,10000
GreatBrit.,EnergyHubEU,1,10000
Netherlands,EnergyHubEU,1,10000
NL_Lagelander,EnergyHubEU,1,10000
NO_Sørvest,EnergyHubEU,1,10000
NO_Vestavind,EnergyHubEU,1,10000
NO2,EnergyHubEU,1,10000
NO3,EnergyHubEU,1,10000
NO5,EnergyHubEU,1,10000
FI_BalticSea,Finland,1,10000
GreatBrit.,FR_ChannelSea,1,10000
FR_Atlantic,France,1,10000
FR_ChannelSea,France,1,10000
GreatBrit.,GB_CelticSea,1,10000
Ireland,GB_CelticSea,1,10000
GreatBrit.,GB_DoggerBank,1,10000
NO_Sørvest,GB_DoggerBank,1,10000
GreatBrit.,GB_IrelandSea,1,10000
Ireland,GB_IrelandSea,1,10000
GreatBrit.,GB_ScotlandEast,1,10000
NO_Sørvest,GB_ScotlandEast,1,10000
NO_Vestavind,GB_ScotlandEast,1,10000
GreatBrit.,GB_SheppeyIsland,1,10000
NL_Lagelander,GB_SheppeyIsland,1,10000
IE_Atlantic,Ireland,1,10000
Spain,FR_Atlantic,1,10000
NL_Lagelander,Netherlands,1,10000
NO_Sørvest,NO2,1,10000
NO_Vestavind,NO2,1,10000
NO_Vestavind,NO3,1,10000
NO_Sørvest,NO5,1,10000
NO_Vestavind,NO5,1,10000
PL_BalticSea,Poland,1,10000
SE_BalticSea,Sweden,1,10000
SE_BotnieGulf,Sweden,1,10000
SE_Luleå,Sweden,1,10000
Estonia,BalticCountries_BalticSea,2,10000
Latvia,BalticCountries_BalticSea,2,10000
Lithuania,BalticCountries_BalticSea,2,10000
GreatBrit.,BE_PrincessElisabeth,2,10000
EnergyHubEU,BE_PrincessElisabeth,2,10000
NL_Lagelander,BE_PrincessElisabeth,2,10000
GB_SheppeyIsland,BE_PrincessElisabeth,2,10000
BE_PrincessElisabeth,Belgium,2,10000
EnergyHubEU,Belgium,2,10000
NL_Lagelander,Belgium,2,10000
DK_NorthSea,DE_NorthSea,2,10000
EnergyHubEU,DE_NorthSea,2,10000
GB_DoggerBank,DE_NorthSea,2,10000
NL_Lagelander,DE_NorthSea,2,10000
Germany,DE_BalticSea,2,10000
Germany,DE_NorthSea,2,10000
DK_BalticSea,Denmark,2,10000
DK_NorthSea,Denmark,2,10000
EnergyHubEU,Denmark,2,10000
EnergyHubEU,DK_NorthSea,2,10000
GB_DoggerBank,DK_NorthSea,2,10000
NO_Sørvest,DK_NorthSea,2,10000
FR_ChannelSea,EnergyHubEU,2,10000
GB_DoggerBank,EnergyHubEU,2,10000
GB_ScotlandEast,EnergyHubEU,2,10000
GB_SheppeyIsland,EnergyHubEU,2,10000
Germany,EnergyHubEU,2,10000
GreatBrit.,EnergyHubEU,2,10000
Netherlands,EnergyHubEU,2,10000
NL_Lagelander,EnergyHubEU,2,10000
NO_Sørvest,EnergyHubEU,2,10000
NO_Vestavind,EnergyHubEU,2,10000
NO2,EnergyHubEU,2,10000
NO3,EnergyHubEU,2,10000
NO5,EnergyHubEU,2,10000
FI_BalticSea,Finland,2,10000
GreatBrit.,FR_ChannelSea,2,10000
FR_Atlantic,France,2,10000
FR_ChannelSea,France,2,10000
GreatBrit.,GB_CelticSea,2,10000
Ireland,GB_CelticSea,2,10000
GreatBrit.,GB_DoggerBank,2,10000
NO_Sørvest,GB_DoggerBank,2,10000
GreatBrit.,GB_IrelandSea,2,10000
Ireland,GB_IrelandSea,2,10000
GreatBrit.,GB_ScotlandEast,2,10000
NO_Sørvest,GB_ScotlandEast,2,10000
NO_Vestavind,GB_ScotlandEast,2,10000
GreatBrit.,GB_SheppeyIsland,2,10000
NL_Lagelander,GB_SheppeyIsland,2,10000
IE_Atlantic,Ireland,2,10000
Spain,FR_Atlantic,2,10000
NL_Lagelander,Netherlands,2,10000
NO_Sørvest,NO2,2,10000
NO_Vestavind,NO2,2,10000
NO_Vestavind,NO3,2,10000
NO_Sørvest,NO5,2,10000
NO_Vestavind,NO5,2,10000
PL_BalticSea,Poland,2,10000
SE_BalticSea,Sweden,2,10000
SE_BotnieGulf,Sweden,2,10000
SE_Luleå,Sweden,2,10000
Estonia,BalticCountries_BalticSea,3,10000
Latvia,BalticCountries_BalticSea,3,10000
Lithuania,BalticCountries_BalticSea,3,10000
GreatBrit.,BE_PrincessElisabeth,3,10000
EnergyHubEU,BE_PrincessElisabeth,3,10000
NL_Lagelander,BE_PrincessElisabeth,3,10000
GB_SheppeyIsland,BE_PrincessElisabeth,3,10000
BE_PrincessElisabeth,Belgium,3,10000
EnergyHubEU,Belgium,3,10000
NL_Lagelander,Belgium,3,10000
DK_NorthSea,DE_NorthSea,3,10000
EnergyHubEU,DE_NorthSea,3,10000
GB_DoggerBank,DE_NorthSea,3,10000
NL_Lagelander,DE_NorthSea,3,10000
Germany,DE_BalticSea,3,10000
Germany,DE_NorthSea,3,10000
DK_BalticSea,Denmark,3,10000
DK_NorthSea,Denmark,3,10000
EnergyHubEU,Denmark,3,10000
EnergyHubEU,DK_NorthSea,3,10000
GB_DoggerBank,DK_NorthSea,3,10000
NO_Sørvest,DK_NorthSea,3,10000
FR_ChannelSea,EnergyHubEU,3,10000
GB_DoggerBank,EnergyHubEU,3,10000
GB_ScotlandEast,EnergyHubEU,3,10000
GB_SheppeyIsland,EnergyHubEU,3,10000
Germany,EnergyHubEU,3,10000
GreatBrit.,EnergyHubEU,3,10000
Netherlands,EnergyHubEU,3,10000
NL_Lagelander,EnergyHubEU,3,10000
NO_Sørvest,EnergyHubEU,3,10000
NO_Vestavind,EnergyHubEU,3,10000
NO2,EnergyHubEU,3,10000
NO3,EnergyHubEU,3,10000
NO5,EnergyHubEU,3,10000
FI_BalticSea,Finland,3,10000
GreatBrit.,FR_ChannelSea,3,10000
FR_Atlantic,France,3,10000
FR_ChannelSea,France,3,10000
GreatBrit.,GB_CelticSea,3,10000
Ireland,GB_CelticSea,3,10000
GreatBrit.,GB_DoggerBank,3,10000
NO_Sørvest,GB_DoggerBank,3,10000
GreatBrit.,GB_IrelandSea,3,10000
Ireland,GB_IrelandSea,3,10000
GreatBrit.,GB_ScotlandEast,3,10000
NO_Sørvest,GB_ScotlandEast,3,10000
NO_Vestavind,GB_ScotlandEast,3,10000
GreatBrit.,GB_SheppeyIsland,3,10000
NL_Lagelander,GB_SheppeyIsland,3,10000
IE_Atlantic,Ireland,3,10000
Spain,FR_Atlantic,3,10000
NL_Lagelander,Netherlands,3,10000
NO_Sørvest,NO2,3,10000
NO_Vestavind,NO2,3,10000
NO_Vestavind,NO3,3,10000
NO_Sørvest,NO5,3,10000
NO_Vestavind,NO5,3,10000
PL_BalticSea,Poland,3,10000
SE_BalticSea,Sweden,3,10000
SE_BotnieGulf,Sweden,3,10000
SE_Luleå,Sweden,3,10000
