Node,GeneratorTechnology,generatorMaxInstallCapacity__in_MW
Hungary,Hcoal,200000.0
Ireland,Hcoal,200000.0
Italy,Hcoal,200000.0
Latvia,Hcoal,0.0
Netherlands,Hcoal,200000.0
Poland,Hcoal,200000.0
Portugal,Hcoal,200000.0
Romania,Hcoal,200000.0
Slovakia,Hcoal,200000.0
Slovenia,Hcoal,200000.0
Spain,Hcoal,200000.0
Sweden,Hcoal,200000.0
Austria,Hydro_reg,4530.309311830878
BosniaH,Hydro_reg,1587.0
Bulgaria,Hydro_reg,4624.735944700461
Croatia,Hydro_reg,1407.0
CzechR,Hydro_reg,1298.5227272727273
Finland,Hydro_reg,6542.590642306053
France,Hydro_reg,20711.65593789937
Germany,Hydro_reg,2211.2
GreatBrit.,Hydro_reg,7219.0
Greece,Hydro_reg,3070.5
Hungary,Hydro_reg,46.0
Ireland,Hydro_reg,296.0
Italy,Hydro_reg,12830.050171000099
Lithuania,Hydro_reg,259.0
Luxemb.,Hydro_reg,45.6875
Macedonia,Hydro_reg,503.0
NO1,Hydro_reg,3950.7520000000004
NO2,Hydro_reg,10028.832
NO3,Hydro_reg,4558.56
NO4,Hydro_reg,5470.272
NO5,Hydro_reg,6381.984
Poland,Hydro_reg,600.8852957135106
Portugal,Hydro_reg,16114.3381474104
Romania,Hydro_reg,11223.445046821094
Serbia,Hydro_reg,714.741218319253
Slovakia,Hydro_reg,2684.0
Spain,Hydro_reg,39940.91973876953
Sweden,Hydro_reg,11477.2
Switzerland,Hydro_reg,10150.0
Austria,Hydro_ror,11225.3
Belgium,Hydro_ror,362.3
BosniaH,Hydro_ror,85.0
Bulgaria,Hydro_ror,326.26405529953917
Croatia,Hydro_ror,495.0
CzechR,Hydro_ror,459.47727272727275
Denmark,Hydro_ror,9.0
Estonia,Hydro_ror,13.0
Finland,Hydro_ror,523.0
France,Hydro_ror,15718.688124201259
Germany,Hydro_ror,4151.359011482777
GreatBrit.,Hydro_ror,3309.558659217877
Greece,Hydro_ror,1575.0
Hungary,Hydro_ror,194.0
Ireland,Hydro_ror,32.0
Italy,Hydro_ror,8508.1996579998
Latvia,Hydro_ror,1676.0
Lithuania,Hydro_ror,150.0
Luxemb.,Hydro_ror,40.3125
Macedonia,Hydro_ror,200.0
Netherlands,Hydro_ror,227.0
NO1,Hydro_ror,1950.0
NO2,Hydro_ror,4950.0
NO3,Hydro_ror,2250.0
NO4,Hydro_ror,2700.0
NO5,Hydro_ror,3150.0
Poland,Hydro_ror,1752.0147042864896
Portugal,Hydro_ror,29427.66185258964
Romania,Hydro_ror,6707.554953178906
Serbia,Hydro_ror,3530.5
Slovenia,Hydro_ror,3574.0
Spain,Hydro_ror,9518.080261230469
Sweden,Hydro_ror,6559.037777777778
Switzerland,Hydro_ror,7127.0
Austria,Hydrogen,200000.0
Belgium,Hydrogen,200000.0
Bulgaria,Hydrogen,200000.0
Croatia,Hydrogen,200000.0
CzechR,Hydrogen,200000.0
Denmark,Hydrogen,200000.0
Estonia,Hydrogen,200000.0
Finland,Hydrogen,200000.0
France,Hydrogen,200000.0
Germany,Hydrogen,200000.0
GreatBrit.,Hydrogen,200000.0
Greece,Hydrogen,200000.0
Hungary,Hydrogen,200000.0
Ireland,Hydrogen,200000.0
Italy,Hydrogen,200000.0
Latvia,Hydrogen,200000.0
Lithuania,Hydrogen,200000.0
Luxemb.,Hydrogen,200000.0
Netherlands,Hydrogen,200000.0
NO1,Hydrogen,200000.0
NO2,Hydrogen,200000.0
NO3,Hydrogen,200000.0
NO4,Hydrogen,200000.0
NO5,Hydrogen,200000.0
Poland,Hydrogen,200000.0
Portugal,Hydrogen,200000.0
Romania,Hydrogen,200000.0
Serbia,Hydrogen,200000.0
Slovakia,Hydrogen,200000.0
Slovenia,Hydrogen,200000.0
Spain,Hydrogen,200000.0
Sweden,Hydrogen,200000.0
Switzerland,Hydrogen,200000.0
BosniaH,Lignite,200000.0
Bulgaria,Lignite,200000.0
CzechR,Lignite,200000.0
Germany,Lignite,200000.0
Greece,Lignite,200000.0
Hungary,Lignite,200000.0
Ireland,Lignite,200000.0
Macedonia,Lignite,200000.0
Poland,Lignite,200000.0
Romania,Lignite,200000.0
Serbia,Lignite,200000.0
Slovakia,Lignite,200000.0
Slovenia,Lignite,200000.0
Spain,Lignite,200000.0
Belgium,Nuclear,4000.0
Bulgaria,Nuclear,4000.0
CzechR,Nuclear,6982.6
Finland,Nuclear,10000.0
France,Nuclear,62907.0
Germany,Nuclear,0.0
GreatBrit.,Nuclear,16000.0
Hungary,Nuclear,4277.0
Netherlands,Nuclear,6000.0
Romania,Nuclear,3087.0
Slovakia,Nuclear,3095.668
Slovenia,Nuclear,1100.0
Spain,Nuclear,0.0
Sweden,Nuclear,16400.0
Switzerland,Nuclear,0.0
Austria,Oil,200000.0
Belgium,Oil,200000.0
Bulgaria,Oil,200000.0
Croatia,Oil,200000.0
CzechR,Oil,200000.0
Denmark,Oil,200000.0
Finland,Oil,200000.0
France,Oil,200000.0
Germany,Oil,200000.0
GreatBrit.,Oil,200000.0
Hungary,Oil,200000.0
Ireland,Oil,200000.0
Latvia,Oil,200000.0
Lithuania,Oil,200000.0
Macedonia,Oil,200000.0
Portugal,Oil,200000.0
Romania,Oil,200000.0
Slovakia,Oil,200000.0
Slovenia,Oil,200000.0
Spain,Oil,200000.0
Sweden,Oil,200000.0
Switzerland,Oil,200000.0
Austria,Waste,85.0
Belgium,Waste,390.0
BosniaH,Waste,0.0
Bulgaria,Waste,10.0
Croatia,Waste,6.300000000000001
CzechR,Waste,105.0
Denmark,Waste,390.0
Estonia,Waste,21.0
Finland,Waste,165.9
France,Waste,970.0
Germany,Waste,1873.2
GreatBrit.,Waste,5.25
Greece,Waste,0.0
Hungary,Waste,50.0
Ireland,Waste,84.0
Italy,Waste,675.0
Latvia,Waste,0.0
Lithuania,Waste,75.0
Luxemb.,Waste,25.0
Macedonia,Waste,0.0
Netherlands,Waste,795.9
NO1,Waste,35.0
NO2,Waste,25.0
NO3,Waste,19.0
NO4,Waste,0.0
NO5,Waste,35.0
Poland,Waste,59.85
Portugal,Waste,0.0
Romania,Waste,0.0
Serbia,Waste,35.0
Slovakia,Waste,19.95
Slovenia,Waste,8.4
Spain,Waste,714.0
Sweden,Waste,467.25
Switzerland,Waste,443.1
Finland,Wave,12.0
France,Wave,450.0
GreatBrit.,Wave,1500.0
Ireland,Wave,90.0
Italy,Wave,7.0
Netherlands,Wave,162.0
Portugal,Wave,300.0
Spain,Wave,120.0
Austria,Solar,102000.0
Belgium,Solar,55000.0
BosniaH,Solar,1809.8000000000002
Bulgaria,Solar,9110.0
Croatia,Solar,3188.0
CzechR,Solar,20155.0
Denmark,Solar,62271.40221402215
Estonia,Solar,4000.0000000000005
Finland,Solar,80000.0
France,Solar,250000.0
Germany,Solar,507250.0
GreatBrit.,Solar,126546.34
Greece,Solar,2500.0
Hungary,Solar,23396.075108571396
Ireland,Solar,21298.0
Italy,Solar,249731.48433782352
Latvia,Solar,2078.519315693599
Lithuania,Solar,5900.3
Luxemb.,Solar,2175.3999999999996
Macedonia,Solar,3951.0
Netherlands,Solar,183097.77703517003
NO1,Solar,0.0
NO2,Solar,0.0
NO3,Solar,3750.0
NO4,Solar,0.0
NO5,Solar,0.0
Poland,Solar,29000.0
Portugal,Solar,96000.0
Romania,Solar,34500.0
Serbia,Solar,794.85
Slovakia,Solar,5000.0
Slovenia,Solar,11555.0
Spain,Solar,179848.0
Sweden,Solar,49500.0
Switzerland,Solar,44567.0
Austria,Wind_onshr,41144.90161001789
Belgium,Wind_onshr,10000.0
BosniaH,Wind_onshr,2016.6
Bulgaria,Wind_onshr,9000.0
Croatia,Wind_onshr,3000.0
CzechR,Wind_onshr,4486.0
Denmark,Wind_onshr,12499.999999999998
Estonia,Wind_onshr,3700.0
Finland,Wind_onshr,106000.0
France,Wind_onshr,80000.0
Germany,Wind_onshr,191500.0
GreatBrit.,Wind_onshr,78917.57
Greece,Wind_onshr,2500.0
Hungary,Wind_onshr,3000.0
Ireland,Wind_onshr,11308.0
Italy,Wind_onshr,40373.0
Latvia,Wind_onshr,650.0
Lithuania,Wind_onshr,5650.0
Luxemb.,Wind_onshr,600.0
Macedonia,Wind_onshr,1500.0
Netherlands,Wind_onshr,20000.0
NO1,Wind_onshr,512.3474626865672
NO2,Wind_onshr,1300.574328358209
NO3,Wind_onshr,2424.575
NO4,Wind_onshr,1858.09
NO5,Wind_onshr,827.638208955224
Poland,Wind_onshr,13000.0
Portugal,Wind_onshr,62000.0
Romania,Wind_onshr,9000.0
Serbia,Wind_onshr,4812.15
Slovakia,Wind_onshr,2000.0
Slovenia,Wind_onshr,418.0
Spain,Wind_onshr,104418.0
Sweden,Wind_onshr,49100.0
Switzerland,Wind_onshr,2223.0
Belgium,Wind_offshr,0.0
Bulgaria,Wind_offshr,0.0
Denmark,Wind_offshr,18713.26874990794
Estonia,Wind_offshr,0.0
Finland,Wind_offshr,0.0
France,Wind_offshr,4905.274016915642
Germany,Wind_offshr,6973.4637716177795
GreatBrit.,Wind_offshr,40669.022530606206
Greece,Wind_offshr,17500.0
Croatia,Wind_offshr,3000.0
Ireland,Wind_offshr,0.0
Italy,Wind_offshr,18500.0
Latvia,Wind_offshr,0.0
Lithuania,Wind_offshr,4500.0
Netherlands,Wind_offshr,41000.0
NO1,Wind_offshr,0.0
NO2,Wind_offshr,1335.259180146297
NO3,Wind_offshr,500.0
NO4,Wind_offshr,2000.0
NO5,Wind_offshr,0.0
Poland,Wind_offshr,0.0
Portugal,Wind_offshr,10000.0
Romania,Wind_offshr,1000.0
Spain,Wind_offshr,2800.0
Sweden,Wind_offshr,5400.0
BE_PrincessElisabeth,Wind_offshr_grounded,7960.0
DE_NorthSea,Wind_offshr_grounded,58076.86310900038
DE_BalticSea,Wind_offshr_grounded,5870.273119381853
DK_BalticSea,Wind_offshr_grounded,4451.519354274205
DK_NorthSea,Wind_offshr_grounded,20085.81189581786
BalticCountries_BalticSea,Wind_offshr_grounded,17600.0
FI_BalticSea,Wind_offshr_grounded,12000.0
FR_ChannelSea,Wind_offshr_grounded,10766.56051906624
FR_Atlantic,Wind_offshr_grounded,28703.165464018122
IE_Atlantic,Wind_offshr_grounded,16096.199999999999
NL_Lagelander,Wind_offshr_grounded,31300.0
NO_Vestavind,Wind_offshr_grounded,4259.88094086808
NO_Sørvest,Wind_offshr_grounded,1908.3598789856237
PL_BalticSea,Wind_offshr_grounded,10900.0
SE_BotnieGulf,Wind_offshr_grounded,4000.0
SE_BalticSea,Wind_offshr_grounded,7000.0
SE_Luleå,Wind_offshr_grounded,8200.0
GB_DoggerBank,Wind_offshr_grounded,615.0149545078316
GB_ScotlandEast,Wind_offshr_grounded,23315.53394028238
GB_SheppeyIsland,Wind_offshr_grounded,14151.626943329138
GB_IrelandSea,Wind_offshr_grounded,14937.472466043493
GB_CelticSea,Wind_offshr_grounded,4278.568593877936
NO_Vestavind,Wind_offshr_floating,4259.88094086808
NO_Sørvest,Wind_offshr_floating,1908.3598789856237
