Node,Generator
NO1,Gasexisting
NO2,Gasexisting
NO4,Gasexisting
NO5,Gasexisting
Poland,Gasexisting
Portugal,Gasexisting
Romania,Gasexisting
Serbia,Gasexisting
Slovakia,Gasexisting
Slovenia,Gasexisting
Spain,Gasexisting
Croatia,Gasexisting
Austria,GasOCGT
Belgium,GasOCGT
Bulgaria,GasOCGT
Croatia,GasOCGT
CzechR,GasOCGT
Denmark,GasOCGT
Estonia,GasOCGT
Finland,GasOCGT
France,GasOCGT
Germany,GasOCGT
GreatBrit.,GasOCGT
Greece,GasOCGT
Hungary,GasOCGT
Ireland,GasOCGT
Italy,GasOCGT
Latvia,GasOCGT
Lithuania,GasOCGT
Luxemb.,GasOCGT
Macedonia,GasOCGT
Netherlands,GasOCGT
NO1,GasOCGT
NO2,GasOCGT
NO3,GasOCGT
NO4,GasOCGT
NO5,GasOCGT
Poland,GasOCGT
Portugal,GasOCGT
Romania,GasOCGT
Serbia,GasOCGT
Slovakia,GasOCGT
Slovenia,GasOCGT
Spain,GasOCGT
Sweden,GasOCGT
Switzerland,GasOCGT
Austria,Geo
Belgium,Geo
Croatia,Geo
CzechR,Geo
France,Geo
Germany,Geo
Greece,Geo
Hungary,Geo
Ireland,Geo
Italy,Geo
Latvia,Geo
Portugal,Geo
Slovakia,Geo
Spain,Geo
Austria,Hydroregulated
BosniaH,Hydroregulated
Bulgaria,Hydroregulated
Croatia,Hydroregulated
CzechR,Hydroregulated
Finland,Hydroregulated
France,Hydroregulated
Germany,Hydroregulated
GreatBrit.,Hydroregulated
Greece,Hydroregulated
Hungary,Hydroregulated
Ireland,Hydroregulated
Italy,Hydroregulated
Lithuania,Hydroregulated
Luxemb.,Hydroregulated
Macedonia,Hydroregulated
NO1,Hydroregulated
NO2,Hydroregulated
NO3,Hydroregulated
NO4,Hydroregulated
NO5,Hydroregulated
Poland,Hydroregulated
Portugal,Hydroregulated
Romania,Hydroregulated
Serbia,Hydroregulated
Slovakia,Hydroregulated
Spain,Hydroregulated
Sweden,Hydroregulated
Switzerland,Hydroregulated
Austria,Hydrorun-of-the-river
Belgium,Hydrorun-of-the-river
BosniaH,Hydrorun-of-the-river
Bulgaria,Hydrorun-of-the-river
Croatia,Hydrorun-of-the-river
CzechR,Hydrorun-of-the-river
Denmark,Hydrorun-of-the-river
Estonia,Hydrorun-of-the-river
Finland,Hydrorun-of-the-river
France,Hydrorun-of-the-river
Germany,Hydrorun-of-the-river
GreatBrit.,Hydrorun-of-the-river
Greece,Hydrorun-of-the-river
Hungary,Hydrorun-of-the-river
Ireland,Hydrorun-of-the-river
Italy,Hydrorun-of-the-river
Latvia,Hydrorun-of-the-river
Lithuania,Hydrorun-of-the-river
Luxemb.,Hydrorun-of-the-river
Macedonia,Hydrorun-of-the-river
Netherlands,Hydrorun-of-the-river
NO1,Hydrorun-of-the-river
NO2,Hydrorun-of-the-river
NO3,Hydrorun-of-the-river
NO4,Hydrorun-of-the-river
NO5,Hydrorun-of-the-river
Poland,Hydrorun-of-the-river
Portugal,Hydrorun-of-the-river
Romania,Hydrorun-of-the-river
Serbia,Hydrorun-of-the-river
Slovakia,Hydrorun-of-the-river
Slovenia,Hydrorun-of-the-river
Spain,Hydrorun-of-the-river
Sweden,Hydrorun-of-the-river
Switzerland,Hydrorun-of-the-river
Austria,HydrogenCCGT
Belgium,HydrogenCCGT
Bulgaria,HydrogenCCGT
Croatia,HydrogenCCGT
CzechR,HydrogenCCGT
Denmark,HydrogenCCGT
Estonia,HydrogenCCGT
Finland,HydrogenCCGT
France,HydrogenCCGT
Germany,HydrogenCCGT
GreatBrit.,HydrogenCCGT
Greece,HydrogenCCGT
Hungary,HydrogenCCGT
Ireland,HydrogenCCGT
Italy,HydrogenCCGT
Latvia,HydrogenCCGT
Lithuania,HydrogenCCGT
Luxemb.,HydrogenCCGT
Netherlands,HydrogenCCGT
NO1,HydrogenCCGT
NO2,HydrogenCCGT
NO3,HydrogenCCGT
NO4,HydrogenCCGT
NO5,HydrogenCCGT
Poland,HydrogenCCGT
Portugal,HydrogenCCGT
Romania,HydrogenCCGT
Serbia,HydrogenCCGT
Slovakia,HydrogenCCGT
Slovenia,HydrogenCCGT
Spain,HydrogenCCGT
Sweden,HydrogenCCGT
Switzerland,HydrogenCCGT
Austria,Hydrogenfuelcell
Belgium,Hydrogenfuelcell
Bulgaria,Hydrogenfuelcell
Croatia,Hydrogenfuelcell
CzechR,Hydrogenfuelcell
Denmark,Hydrogenfuelcell
Estonia,Hydrogenfuelcell
Finland,Hydrogenfuelcell
France,Hydrogenfuelcell
Germany,Hydrogenfuelcell
GreatBrit.,Hydrogenfuelcell
Greece,Hydrogenfuelcell
Hungary,Hydrogenfuelcell
Ireland,Hydrogenfuelcell
Italy,Hydrogenfuelcell
Latvia,Hydrogenfuelcell
Lithuania,Hydrogenfuelcell
Luxemb.,Hydrogenfuelcell
Netherlands,Hydrogenfuelcell
NO1,Hydrogenfuelcell
NO2,Hydrogenfuelcell
NO3,Hydrogenfuelcell
NO4,Hydrogenfuelcell
NO5,Hydrogenfuelcell
Poland,Hydrogenfuelcell
Portugal,Hydrogenfuelcell
Romania,Hydrogenfuelcell
Serbia,Hydrogenfuelcell
Slovakia,Hydrogenfuelcell
Slovenia,Hydrogenfuelcell
Spain,Hydrogenfuelcell
Sweden,Hydrogenfuelcell
Switzerland,Hydrogenfuelcell
Austria,HydrogenOCGT
Belgium,HydrogenOCGT
Bulgaria,HydrogenOCGT
Croatia,HydrogenOCGT
CzechR,HydrogenOCGT
Denmark,HydrogenOCGT
Estonia,HydrogenOCGT
Finland,HydrogenOCGT
France,HydrogenOCGT
Germany,HydrogenOCGT
GreatBrit.,HydrogenOCGT
Greece,HydrogenOCGT
Hungary,HydrogenOCGT
Ireland,HydrogenOCGT
Italy,HydrogenOCGT
Latvia,HydrogenOCGT
Lithuania,HydrogenOCGT
Luxemb.,HydrogenOCGT
Netherlands,HydrogenOCGT
NO1,HydrogenOCGT
NO2,HydrogenOCGT
NO3,HydrogenOCGT
NO4,HydrogenOCGT
NO5,HydrogenOCGT
Poland,HydrogenOCGT
Portugal,HydrogenOCGT
Romania,HydrogenOCGT
Serbia,HydrogenOCGT
Slovakia,HydrogenOCGT
Slovenia,HydrogenOCGT
Spain,HydrogenOCGT
Sweden,HydrogenOCGT
Switzerland,HydrogenOCGT
BosniaH,Lignite
Bulgaria,Lignite
CzechR,Lignite
Estonia,Lignite
Germany,Lignite
Greece,Lignite
Hungary,Lignite
Ireland,Lignite
Macedonia,Lignite
Poland,Lignite
Romania,Lignite
Serbia,Lignite
Slovakia,Lignite
Slovenia,Lignite
Spain,Lignite
BosniaH,LigniteCCS
Bulgaria,LigniteCCS
CzechR,LigniteCCS
Estonia,LigniteCCS
Germany,LigniteCCS
Greece,LigniteCCS
Hungary,LigniteCCS
Ireland,LigniteCCS
Macedonia,LigniteCCS
Poland,LigniteCCS
Romania,LigniteCCS
Serbia,LigniteCCS
Slovakia,LigniteCCS
Slovenia,LigniteCCS
BosniaH,Ligniteexisting
Bulgaria,Ligniteexisting
CzechR,Ligniteexisting
Finland,Ligniteexisting
Germany,Ligniteexisting
Greece,Ligniteexisting
Hungary,Ligniteexisting
Ireland,Ligniteexisting
Macedonia,Ligniteexisting
Poland,Ligniteexisting
Romania,Ligniteexisting
Serbia,Ligniteexisting
Slovakia,Ligniteexisting
Slovenia,Ligniteexisting
Belgium,Nuclear
Bulgaria,Nuclear
CzechR,Nuclear
Finland,Nuclear
France,Nuclear
Germany,Nuclear
GreatBrit.,Nuclear
Hungary,Nuclear
Lithuania,Nuclear
Netherlands,Nuclear
Poland,Nuclear
Romania,Nuclear
Slovakia,Nuclear
Slovenia,Nuclear
Spain,Nuclear
Sweden,Nuclear
Switzerland,Nuclear
Austria,Oilexisting
Belgium,Oilexisting
BosniaH,Oilexisting
Bulgaria,Oilexisting
Croatia,Oilexisting
CzechR,Oilexisting
Denmark,Oilexisting
Estonia,Oilexisting
Finland,Oilexisting
France,Oilexisting
Germany,Oilexisting
GreatBrit.,Oilexisting
Hungary,Oilexisting
Ireland,Oilexisting
Italy,Oilexisting
Latvia,Oilexisting
Lithuania,Oilexisting
Macedonia,Oilexisting
Poland,Oilexisting
Portugal,Oilexisting
Slovakia,Oilexisting
Slovenia,Oilexisting
Spain,Oilexisting
Sweden,Oilexisting
Switzerland,Oilexisting
Austria,Solar
Belgium,Solar
BosniaH,Solar
Bulgaria,Solar
Croatia,Solar
CzechR,Solar
Denmark,Solar
Estonia,Solar
Finland,Solar
France,Solar
Germany,Solar
GreatBrit.,Solar
Greece,Solar
Hungary,Solar
Ireland,Solar
Italy,Solar
Latvia,Solar
Lithuania,Solar
Luxemb.,Solar
Macedonia,Solar
Netherlands,Solar
NO1,Solar
NO2,Solar
NO3,Solar
NO4,Solar
NO5,Solar
Poland,Solar
Portugal,Solar
Romania,Solar
Serbia,Solar
Slovakia,Solar
Slovenia,Solar
Spain,Solar
Sweden,Solar
Switzerland,Solar
Austria,Waste
Belgium,Waste
BosniaH,Waste
Bulgaria,Waste
Croatia,Waste
CzechR,Waste
Denmark,Waste
Estonia,Waste
Finland,Waste
France,Waste
Germany,Waste
GreatBrit.,Waste
Greece,Waste
Hungary,Waste
Ireland,Waste
Italy,Waste
Latvia,Waste
Lithuania,Waste
Luxemb.,Waste
Macedonia,Waste
Netherlands,Waste
NO1,Waste
NO2,Waste
NO3,Waste
NO4,Waste
NO5,Waste
Poland,Waste
Portugal,Waste
Romania,Waste
Serbia,Waste
Slovakia,Waste
Slovenia,Waste
Spain,Waste
Sweden,Waste
Switzerland,Waste
Finland,Wave
France,Wave
GreatBrit.,Wave
Ireland,Wave
Italy,Wave
Netherlands,Wave
Portugal,Wave
Spain,Wave
Austria,Windonshore
Belgium,Windonshore
BosniaH,Windonshore
Bulgaria,Windonshore
Croatia,Windonshore
CzechR,Windonshore
Denmark,Windonshore
Estonia,Windonshore
Finland,Windonshore
France,Windonshore
Germany,Windonshore
GreatBrit.,Windonshore
Greece,Windonshore
Hungary,Windonshore
Ireland,Windonshore
Italy,Windonshore
Latvia,Windonshore
Lithuania,Windonshore
Luxemb.,Windonshore
Macedonia,Windonshore
Netherlands,Windonshore
NO1,Windonshore
NO2,Windonshore
NO3,Windonshore
NO4,Windonshore
NO5,Windonshore
Poland,Windonshore
Portugal,Windonshore
Romania,Windonshore
Serbia,Windonshore
Slovakia,Windonshore
Slovenia,Windonshore
Spain,Windonshore
Sweden,Windonshore
Switzerland,Windonshore
Belgium,Windoffshore
Bulgaria,Windoffshore
Germany,Windoffshore
Denmark,Windoffshore
Spain,Windoffshore
Estonia,Windoffshore
Finland,Windoffshore
France,Windoffshore
GreatBrit.,Windoffshore
Greece,Windoffshore
Croatia,Windoffshore
Ireland,Windoffshore
Italy,Windoffshore
Latvia,Windoffshore
Netherlands,Windoffshore
NO1,Windoffshore
NO2,Windoffshore
NO3,Windoffshore
NO4,Windoffshore
NO5,Windoffshore
Lithuania,Windoffshore
Poland,Windoffshore
Portugal,Windoffshore
Romania,Windoffshore
Sweden,Windoffshore
BE_PrincessElisabeth,Windoffshoregrounded
DE_NorthSea,Windoffshoregrounded
DE_BalticSea,Windoffshoregrounded
DK_BalticSea,Windoffshoregrounded
DK_NorthSea,Windoffshoregrounded
BalticCountries_BalticSea,Windoffshoregrounded
FI_BalticSea,Windoffshoregrounded
FR_ChannelSea,Windoffshoregrounded
FR_Atlantic,Windoffshoregrounded
IE_Atlantic,Windoffshoregrounded
NL_Lagelander,Windoffshoregrounded
NO_Vestavind,Windoffshoregrounded
NO_Sørvest,Windoffshoregrounded
PL_BalticSea,Windoffshoregrounded
SE_BotnieGulf,Windoffshoregrounded
SE_BalticSea,Windoffshoregrounded
SE_Luleå,Windoffshoregrounded
GB_DoggerBank,Windoffshoregrounded
GB_ScotlandEast,Windoffshoregrounded
GB_SheppeyIsland,Windoffshoregrounded
GB_IrelandSea,Windoffshoregrounded
GB_CelticSea,Windoffshoregrounded
BE_PrincessElisabeth,Windoffshorefloating
DE_NorthSea,Windoffshorefloating
DE_BalticSea,Windoffshorefloating
DK_BalticSea,Windoffshorefloating
DK_NorthSea,Windoffshorefloating
BalticCountries_BalticSea,Windoffshorefloating
FI_BalticSea,Windoffshorefloating
FR_ChannelSea,Windoffshorefloating
FR_Atlantic,Windoffshorefloating
IE_Atlantic,Windoffshorefloating
NL_Lagelander,Windoffshorefloating
NO_Vestavind,Windoffshorefloating
NO_Sørvest,Windoffshorefloating
PL_BalticSea,Windoffshorefloating
SE_BotnieGulf,Windoffshorefloating
SE_BalticSea,Windoffshorefloating
SE_Luleå,Windoffshorefloating
GB_DoggerBank,Windoffshorefloating
GB_ScotlandEast,Windoffshorefloating
GB_SheppeyIsland,Windoffshorefloating
GB_IrelandSea,Windoffshorefloating
GB_CelticSea,Windoffshorefloating
